回数,種別,科目名,番号,問題文,選択肢１,選択肢２,選択肢３,選択肢４,答
25,按マ指,医療概論,1,我が国の公的医療保険制度について正しいのはどれか。,国民皆保険制度は昭和時代に始まった。,医療給付は現金給付方式が原則である。,75歳以上の高齢者は3割負担である。,近年の国民医療費は減少傾向にある。,1
25,按マ指,医療概論,2,施術者と患者の関係で望ましくないのはどれか。,信頼,共感,従属,協力,3
25,按マ指,医療概論,3,介護保険制度について正しいのはどれか。,ケアプランは利用者が自分で作ることができる。,住宅改修には利用できない。,主治医意見書には要介護度を記入する。,第2号被保険者は65歳以上である。,1
25,按マ指,衛生学,4,一次予防はどれか。,脳卒中予防のための減塩指導,がん検診の受診,難病患者の生活支援,うつ病患者の社会復帰,1
25,按マ指,衛生学,5,我が国の平成26年の食中毒について正しいのはどれか。,動物性自然毒による発生例はない。,ブドウ球菌による患者が最も多い。,冬よりも夏に多く発生する。,飲食店での発生件数が最も多い。,4
25,按マ指,衛生学,6,循環式浴槽水が原因となりやすい疾患はどれか。,インフルエンザ,レジオネラ肺炎,アトピー性皮膚炎,クリプトスポリジウム症,2
25,按マ指,衛生学,7,虐待が疑われる児童をみた場合、通告先はどれか。,保健所,児童相談所,教育委員会,地域包括支援センター,2
25,按マ指,衛生学,8,過剰摂取で痛風になりやすいのはどれか。,海草類,乳製品,生野菜,醸造酒,4
25,按マ指,衛生学,9,2012年から2013年の統計で結核の罹患率が最も高い国はどれか。,日本,ドイツ,イギリス,アメリカ合衆国,1
25,按マ指,衛生学,10,コホート研究について正しいのはどれか。,がんは対象にならない。,集団を対象にはできない。,相対危険度を求められる。,症例対照研究のことである。,3
25,按マ指,衛生学,11,芽胞に効果のある消毒薬はどれか。,次亜塩素酸ナトリウム,消毒用アルコール,ポビドンヨード,ホルムアルデヒド,1又は3又は4
25,按マ指,関係法規,12,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、免許の消極的要件はどれか。,日本国籍,あん摩マッサージ指圧師国家試験の合格,大麻の中毒者,認定された学校または養成施設の卒業,3
25,按マ指,関係法規,13,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、施術者が氏名を変更したときにしなければならないのはどれか。,免許証の再交付申請,名簿登録事項の訂正申請,免許証の書換え交付申請,免許証の返納,2
25,按マ指,関係法規,14,あん摩マッサージ指圧師が患部に施術をする場合、医師の同意が必要なのはどれか。,捻挫,肉ばなれ,打撲,脱臼,4
25,按マ指,関係法規,15,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、50万円以下の罰金に該当するのはどれか。,不正の事実に基づいてあん摩マッサージ指圧師免許を受けた者,あん摩マッサージ指圧師国家試験において不正行為をした者,施術所について虚偽の届け出をした者,医師の同意を得ないで骨折患部へ施術をした者,1
25,按マ指,解剖学,16,体の区分について正しいのはどれか。,頸部の前面を項部という。,骨盤部の後面を腰部という。,頭部と頸部の境界線はオトガイを通る。,頸部と胸部の境界線は烏口突起を通る。,3
25,按マ指,解剖学,17,椎骨間の連結に関与する靱帯について正しいのはどれか。,黄色靱帯は横突起間を結ぶ。,棘間靱帯は棘突起間を結ぶ。,後縦靱帯は棘突起の先端を縦に結ぶ。,前縦靱帯は椎体と椎間円板の後ろを縦に結ぶ。,2
25,按マ指,解剖学,18,腱膜をもつのはどれか。,広背筋,大円筋,前鋸筋,大菱形筋,1
25,按マ指,解剖学,19,門脈－体循環吻合に関与するのはどれか。,肝静脈,腎静脈,臍傍静脈,上行腰静脈,3
25,按マ指,解剖学,20,左主気管支について正しいのはどれか。,3つに分岐する。,前壁は膜性壁である。,右主気管支より短い。,右主気管支より細い。,4
